Time (sec),Mach Number,Weight (kg),Stability Margin (cal),Altitude (m)
3.179997,1.923223,16.3908778,2.826699,970.1604168
3.189997,1.929894,16.36700977,2.829118,976.5599976
3.199997,1.936563,16.34316442,2.831434,982.9812192
3.209997,1.943231,16.31934629,2.833651,989.4237768
3.219997,1.949897,16.29555537,2.835768,995.8879752
3.229997,1.956561,16.27179166,2.83779,1002.37351
3.239997,1.963223,16.24805064,2.839718,1008.880685
3.249997,1.969883,16.22433229,2.841555,1015.409196
3.259997,1.976542,16.20064116,2.843299,1021.959348
3.269997,1.983199,16.17697725,2.844956,1028.530836
3.279997,1.989855,16.15334055,2.846529,1035.123965
3.289997,1.996509,16.12973107,2.848019,1041.73843
3.299997,2.003162,16.10614427,2.849427,1048.37423
3.309997,2.009814,16.08258014,2.850752,1055.031672
3.319997,2.016464,16.05904323,2.852,1061.71045
3.329997,2.023112,16.03552901,2.853173,1068.410258
3.339997,2.029758,16.01204653,2.854273,1075.132013
3.349997,2.036403,15.9885822,2.855299,1081.874798
3.359997,2.043047,15.96514961,2.856252,1088.63892
3.369997,2.049688,15.94173971,2.857135,1095.424682
3.379997,2.056328,15.91835249,2.857955,1102.231476
3.389997,2.062967,15.89499702,2.858704,1109.05991
3.399997,2.069604,15.87166423,2.859389,1115.909376
3.409997,2.076239,15.84835411,2.860011,1122.780482
3.419997,2.082873,15.82507122,2.86057,1129.67262
3.429997,2.089505,15.80181554,2.861069,1136.586094
3.439997,2.096136,15.77858707,2.861509,1143.520903
3.449997,2.102765,15.75537675,2.86189,1150.477049
3.459997,2.109392,15.73219818,2.862214,1157.454226
3.469997,2.116018,15.70904229,2.862481,1164.453043
3.479997,2.122643,15.68591362,2.862695,1171.472587
3.489997,2.129266,15.66281216,2.862856,1178.513772
3.499997,2.135887,15.63973338,2.862967,1185.575988
3.509997,2.142508,15.61667728,2.863022,1192.65954
3.519997,2.149126,15.59364839,2.863032,1199.764123
3.529997,2.155744,15.57064672,2.862993,1206.890042
3.539997,2.162359,15.54767227,2.862905,1214.036993
3.549997,2.168974,15.52472049,2.862772,1221.205279
3.559997,2.175587,15.50179594,2.862591,1228.394597
3.569997,2.182199,15.47889406,2.862368,1235.604946
3.579997,2.188809,15.45601939,2.862098,1242.83663
3.589997,2.195418,15.43316741,2.861789,1250.089346
3.599997,2.202025,15.41034718,2.861438,1257.363398
3.609997,2.208632,15.38754963,2.861043,1264.658177
3.619997,2.215237,15.36477475,2.86061,1271.974291
3.629997,2.221841,15.3420271,2.860139,1279.311437
3.639997,2.228443,15.31930212,2.85963,1286.669614
3.649997,2.235044,15.29660889,2.859079,1294.049126
3.659997,2.241644,15.27393381,2.858495,1301.449366
3.669997,2.248234,15.25129048,2.857881,1308.870636
3.679997,2.254778,15.22875601,2.857255,1316.312328
3.689997,2.261278,15.20635762,2.856622,1323.775051
3.699997,2.267733,15.18410891,2.855979,1331.257891
3.709997,2.274141,15.16200082,2.855335,1338.761153
3.719997,2.280504,15.14003788,2.854686,1346.284226
3.729997,2.286822,15.11821555,2.854032,1353.827417
3.739997,2.293093,15.09653837,2.853381,1361.390419
3.749997,2.299318,15.07500634,2.852727,1368.973234
3.759997,2.305497,15.05361492,2.852073,1376.57525
3.769997,2.31163,15.03236866,2.851422,1384.19647
3.779997,2.317716,15.01126754,2.850776,1391.837196
3.789997,2.323755,14.99030704,2.850131,1399.496515
3.799997,2.329748,14.96949168,2.849496,1407.174732
3.809997,2.335694,14.94881694,2.848868,1414.871846
3.819997,2.341593,14.92828735,2.848245,1422.587249
3.829997,2.347444,14.90789837,2.847631,1430.321244
3.839997,2.353248,14.88765908,2.847028,1438.073222
3.849997,2.359005,14.8675604,2.846432,1445.843184
3.859997,2.364713,14.84760234,2.845852,1453.631129
3.869997,2.370375,14.82779396,2.845283,1461.436752
3.879997,2.375988,14.80812166,2.844728,1469.259749
3.889997,2.381553,14.78859904,2.844186,1477.100424
3.899997,2.38707,14.76921704,2.843662,1484.958168
3.909997,2.392539,14.74998019,2.843151,1492.832981
3.919997,2.397959,14.73088395,2.842659,1500.724558
3.929997,2.403331,14.7119374,2.842182,1508.632898
3.939997,2.408654,14.69312692,2.841722,1516.557698
3.949997,2.413928,14.6744616,2.841288,1524.498958
3.959997,2.419152,14.65594596,2.840868,1532.456676
3.969997,2.424328,14.63756639,2.840466,1540.429939
3.979997,2.429455,14.61933198,2.840091,1548.419357
3.989997,2.434532,14.60124272,2.839736,1556.424624
3.999997,2.439559,14.58329407,2.839402,1564.445131
4.009997,2.444537,14.56549057,2.839088,1572.481488
4.019997,2.449465,14.54783221,2.838803,1580.53278
4.029997,2.454344,14.53031448,2.838536,1588.599007
4.039998,2.45917,14.51294189,2.8383,1596.68017
4.049998,2.463945,14.49570992,2.838089,1604.775962
4.059998,2.468668,14.47862309,2.837903,1612.886386
4.069998,2.473339,14.46168142,2.837744,1621.011134
4.079998,2.477958,14.44488035,2.837613,1629.149904
4.089999,2.482524,14.42822898,2.837512,1637.302694
4.099999,2.487039,14.41171368,2.83744,1645.469201
4.109999,2.491501,14.39534807,2.837393,1653.649728
4.119999,2.49591,14.37911853,2.837383,1661.843362
4.13,2.500267,14.36303868,2.837398,1670.050406
4.14,2.50457,14.34709945,2.837446,1678.270558
4.15,2.508821,14.33130536,2.837522,1686.50351
4.16,2.513019,14.31565189,2.837632,1694.749265
4.170001,2.517164,14.30014357,2.837775,1703.007516
4.180001,2.521255,14.28478039,2.837948,1711.278569
4.190001,2.525331,14.26951247,2.838128,1719.561814
4.200001,2.52939,14.25428991,2.83831,1727.857555
4.210001,2.533434,14.23912178,2.838503,1736.165489
4.220002,2.537462,14.22399901,2.8387,1744.485919
4.230002,2.541475,14.20892614,2.838902,1752.818542
4.240002,2.545471,14.19390316,2.839113,1761.163051
4.250002,2.549452,14.17893008,2.839329,1769.520058
4.260003,2.553416,14.16400235,2.83955,1777.888951
4.270003,2.557365,14.14912906,2.839779,1786.269732
4.280003,2.561297,14.13430112,2.840017,1794.662705
4.290003,2.565214,14.11952308,2.840257,1803.067565
4.300004,2.569115,14.10479494,2.84051,1811.484007
4.310004,2.572999,14.09011215,2.840767,1819.912337
4.320004,2.576868,14.07547926,2.841033,1828.352249
4.330004,2.58072,14.06089627,2.841304,1836.804048
4.340004,2.584556,14.04636317,2.841584,1845.26743
4.350005,2.588376,14.03187997,2.841873,1853.742394
4.360005,2.59218,14.01744666,2.842172,1862.228635
4.370005,2.595968,14.00305871,2.842475,1870.726459
4.380005,2.599739,13.98872065,2.842787,1879.235866
4.390006,2.603494,13.97443249,2.843108,1887.756245
4.400006,2.607232,13.96019423,2.843437,1896.288206
4.410006,2.610955,13.94600586,2.843776,1904.831141
4.420006,2.614661,13.93186285,2.844124,1913.385353
4.430007,2.618351,13.91776973,2.844481,1921.950538
4.440007,2.622023,13.90372651,2.844843,1930.527
4.450007,2.62568,13.88973319,2.845218,1939.11413
4.460007,2.62932,13.87578976,2.8456,1947.712234
4.470007,2.632944,13.86189623,2.845991,1956.32131
4.480008,2.636551,13.84804805,2.846394,1964.941358
4.490008,2.640142,13.83424977,2.846803,1973.57177
4.500008,2.643716,13.82050139,2.847224,1982.213155
4.510008,2.64725,13.80682104,2.847671,1990.864598
4.520009,2.650734,13.79326316,2.848154,1999.52671
4.530009,2.654167,13.77984137,2.848672,2008.198879
4.540009,2.657551,13.76654657,2.849224,2016.880802
4.550009,2.660885,13.75338332,2.849815,2025.572479
4.560009,2.664167,13.74034708,2.85044,2034.27391
4.57001,2.6674,13.72744237,2.851099,2042.984789
4.58001,2.670582,13.71466468,2.851796,2051.704812
4.59001,2.673713,13.70201852,2.85253,2060.433979
4.60001,2.676793,13.68950391,2.8533,2069.17229
4.610011,2.679823,13.67712084,2.854107,2077.919136
4.620011,2.682802,13.66486024,2.854949,2086.674516
4.630011,2.68573,13.65273571,2.855831,2095.43843
4.640011,2.688607,13.64073819,2.856748,2104.210574
4.650012,2.691432,13.62887222,2.857704,2112.990948
4.660012,2.694207,13.61713325,2.858698,2121.778942
4.670012,2.69693,13.60552582,2.859727,2130.57486
4.680012,2.699602,13.59404539,2.860795,2139.378398
4.690012,2.702222,13.58270105,2.861904,2148.189252
4.700013,2.704791,13.57147917,2.863047,2157.007421
4.710013,2.707309,13.56039338,2.864231,2165.8326
4.720013,2.709774,13.54943459,2.865452,2174.66479
4.730013,2.712189,13.5386028,2.866711,2183.50338
4.740014,2.714551,13.52790709,2.86801,2192.348676
4.750014,2.716862,13.51733385,2.869349,2201.200373
4.760014,2.719121,13.50689669,2.870724,2210.05847
4.770014,2.721328,13.49658654,2.872139,2218.922359
4.780015,2.723482,13.48640339,2.873595,2227.792039
4.790015,2.725585,13.47635632,2.875092,2236.66751
4.800015,2.727636,13.46643172,2.876623,2245.548773
4.810015,2.729635,13.45664319,2.878195,2254.434912
4.820015,2.731581,13.44698168,2.879808,2263.326538
4.830016,2.733476,13.43744717,2.88146,2272.22304
4.840016,2.735317,13.42804873,2.883154,2281.124419
4.850016,2.737107,13.4187773,2.884886,2290.030675
4.860016,2.738844,13.40963288,2.886657,2298.941198
4.870017,2.740529,13.40062,2.888466,2307.855989
4.880017,2.742161,13.39173866,2.890319,2316.774742
4.890017,2.743741,13.38298433,2.89221,2325.697762
4.900017,2.745292,13.37433432,2.894123,2334.624744
4.910017,2.746818,13.36575236,2.896054,2343.555689
4.920018,2.748318,13.35723843,2.898007,2352.490596
4.930018,2.749793,13.348788,2.899979,2361.428856
4.940018,2.751242,13.34041015,2.901969,2370.371078
4.950018,2.752665,13.33209127,2.903982,2379.316654
4.960019,2.754062,13.32384496,2.906013,2388.265582
4.970019,2.755434,13.31566669,2.908062,2397.218167
4.980019,2.75678,13.30755192,2.910131,2406.173801
4.990019,2.758101,13.29950065,2.912219,2415.132787
5.00002,2.759395,13.29152196,2.914329,2424.094517
5.01002,2.760664,13.28360678,2.916455,2433.059599
5.02002,2.761906,13.27576416,2.918605,2442.027425
5.03002,2.763124,13.26798052,2.920776,2450.998298
5.04002,2.764315,13.26026945,2.922962,2459.971915
5.050021,2.76548,13.25262188,2.925169,2468.948275
5.060021,2.76662,13.24504235,2.927399,2477.927074
